iter	Passed	Remaining
0	60	60397
1	63	31841
2	65	21894
3	68	16970
4	70	14080
5	72	12082
6	75	10722
7	77	9640
8	81	8991
9	83	8275
10	85	7723
11	88	7250
12	90	6840
13	92	6514
14	96	6308
15	98	6039
16	100	5803
17	103	5637
18	105	5440
19	107	5267
20	109	5105
21	113	5039
22	115	4905
23	117	4772
24	119	4662
25	121	4554
26	124	4471
27	128	4458
28	130	4384
29	133	4309
30	136	4258
31	139	4221
32	141	4156
33	146	4153
34	149	4112
35	151	4067
36	154	4014
37	156	3967
38	159	3922
39	162	3898
40	164	3859
41	167	3831
42	171	3812
43	174	3788
44	178	3797
45	182	3790
46	186	3777
47	189	3757
48	194	3773
49	197	3760
50	202	3776
51	206	3771
52	213	3814
53	218	3825
54	223	3837
55	233	3938
56	269	4461
57	283	4606
58	295	4719
59	304	4776
60	318	4905
61	338	5125
62	352	5237
63	367	5379
64	379	5456
65	385	5455
66	403	5622
67	413	5666
68	419	5655
69	426	5662
70	432	5654
71	436	5622
72	443	5635
73	449	5623
74	452	5586
75	459	5588
76	465	5577
77	469	5544
78	474	5533
79	479	5515
80	483	5482
81	487	5460
82	491	5434
83	495	5402
84	498	5371
85	501	5334
86	506	5317
87	510	5289
88	514	5263
89	517	5233
90	523	5225
91	526	5196
92	530	5172
93	533	5140
94	538	5133
95	541	5102
96	546	5083
97	550	5068
98	555	5055
99	558	5030
100	562	5008
101	566	4988
102	571	4974
103	574	4952
104	579	4936
105	583	4919
106	589	4919
107	593	4898
108	596	4875
109	599	4853
110	603	4836
111	606	4810
112	610	4792
113	614	4777
114	620	4775
115	625	4764
116	629	4752
117	634	4744
118	637	4721
119	642	4708
120	645	4691
121	651	4690
122	655	4670
123	659	4655
124	663	4641
125	667	4630
126	670	4610
127	675	4603
128	679	4587
129	686	4593
130	690	4580
131	695	4572
132	700	4569
133	704	4553
134	708	4541
135	717	4555
136	745	4694
137	772	4825
138	795	4924
139	807	4960
140	821	5002
141	828	5004
142	836	5012
143	845	5025
