iter	Passed	Remaining
0	15	15412
1	22	11206
2	28	9585
3	35	8939
4	43	8565
5	49	8149
6	56	8022
7	62	7701
8	67	7469
9	74	7388
10	79	7139
11	85	7004
12	90	6871
13	96	6789
14	102	6704
15	107	6617
16	113	6553
17	118	6491
18	124	6441
19	129	6367
20	136	6353
21	141	6288
22	147	6244
23	153	6248
24	158	6190
25	164	6174
26	170	6152
27	175	6105
28	182	6106
29	188	6110
30	196	6155
31	202	6132
32	209	6127
33	214	6083
34	222	6122
35	227	6103
36	233	6079
37	239	6063
38	245	6039
39	250	6014
40	256	5998
41	262	5989
42	269	6007
43	276	6002
44	282	6003
45	289	6013
46	295	5999
47	303	6013
48	309	6006
49	315	5996
50	321	5989
51	327	5973
52	333	5962
53	338	5933
54	343	5907
55	349	5888
56	353	5856
57	359	5839
58	365	5823
59	370	5799
60	375	5783
61	380	5763
62	386	5745
63	391	5724
64	396	5708
65	402	5695
66	407	5680
67	414	5681
68	420	5679
69	427	5675
70	433	5669
71	438	5654
72	443	5632
73	448	5614
74	453	5592
75	459	5583
76	464	5569
77	469	5551
78	476	5551
79	483	5560
80	492	5589
81	499	5595
82	506	5598
83	512	5593
84	519	5589
85	525	5586
86	531	5580
87	538	5576
88	543	5564
89	550	5569
90	557	5563
91	563	5564
92	568	5545
93	573	5526
94	578	5515
95	584	5502
96	589	5487
97	594	5470
98	600	5467
99	606	5455
100	612	5452
101	618	5446
102	624	5436
103	630	5434
104	636	5423
105	642	5416
106	649	5424
107	656	5419
108	663	5419
109	668	5409
110	674	5398
111	679	5391
112	685	5378
113	690	5369
114	697	5369
115	703	5357
116	708	5346
117	714	5343
118	720	5334
119	726	5324
120	731	5312
121	736	5303
122	742	5293
123	747	5278
124	752	5266
125	757	5256
126	762	5242
127	768	5235
128	773	5223
129	778	5213
130	784	5203
131	790	5197
132	797	5195
133	802	5183
134	807	5174
135	813	5168
136	819	5163
137	825	5155
138	831	5150
139	836	5139
140	842	5134
141	850	5137
142	855	5129
143	862	5126
144	868	5121
145	874	5112
146	879	5104
147	885	5094
148	890	5087
149	898	5092
150	905	5090
151	913	5093
152	919	5089
153	924	5081
154	929	5067
155	935	5063
156	941	5056
157	947	5047
158	952	5037
159	960	5042
160	966	5036
161	972	5029
162	980	5032
163	987	5033
164	994	5030
165	1000	5027
166	1010	5041
167	1018	5042
168	1027	5051
169	1033	5047
170	1041	5050
171	1048	5047
172	1054	5043
173	1107	5259
174	1125	5307
175	1134	5309
176	1141	5309
177	1151	5315
178	1158	5314
179	1167	5316
180	1175	5317
181	1192	5360
182	1203	5373
183	1211	5373
184	1220	5378
185	1230	5385
186	1238	5386
187	1247	5389
188	1262	5418
189	1273	5427
190	1284	5438
191	1298	5465
192	1310	5480
193	1332	5537
194	1353	5589
195	1377	5651
196	1397	5697
197	1413	5727
198	1427	5745
199	1437	5751
200	1448	5756
201	1458	5762
202	1466	5757
203	1474	5752
204	1480	5742
205	1492	5750
206	1499	5743
207	1508	5742
208	1517	5741
209	1524	5733
210	1530	5723
211	1539	5721
212	1546	5715
213	1554	5709
214	1560	5698
215	1568	5692
216	1575	5686
217	1582	5677
218	1591	5677
219	1600	5675
220	1608	5669
221	1618	5672
222	1626	5668
223	1635	5666
224	1645	5666
225	1656	5674
226	1666	5673
227	1677	5680
228	1688	5683
229	1696	5680
230	1705	5676
231	1713	5673
