iter	Passed	Remaining
0	62	62532
1	64	32234
2	66	22079
3	68	17057
4	70	13992
5	72	11947
6	73	10474
7	75	9375
8	77	8514
9	79	7824
10	80	7260
11	82	6789
12	84	6387
13	85	6041
14	87	5749
15	89	5504
16	91	5298
17	93	5096
18	95	4915
19	97	4764
20	99	4615
21	100	4479
22	102	4354
23	104	4234
24	105	4127
25	107	4025
26	109	3931
27	110	3843
28	112	3761
29	114	3694
30	116	3631
31	117	3566
32	119	3510
33	121	3452
34	123	3412
35	125	3363
36	127	3315
37	129	3267
38	130	3223
39	132	3178
40	134	3136
41	135	3098
42	137	3062
43	139	3028
44	141	2993
45	142	2962
46	144	2931
47	146	2899
48	147	2870
49	149	2842
50	151	2815
51	152	2788
52	154	2766
53	156	2742
54	158	2721
55	160	2702
56	162	2681
57	163	2660
58	165	2639
59	167	2630
60	169	2610
61	171	2591
62	172	2572
63	174	2554
64	176	2537
65	178	2519
66	179	2503
67	181	2487
68	183	2471
69	184	2455
70	186	2441
71	188	2427
72	190	2413
73	191	2400
74	193	2385
75	195	2372
76	196	2360
77	198	2349
78	200	2337
79	202	2325
80	204	2315
81	205	2304
82	207	2294
83	209	2283
84	211	2273
85	212	2262
86	214	2250
87	216	2241
88	217	2231
89	219	2221
90	221	2212
91	223	2201
92	224	2192
93	226	2183
94	228	2173
95	229	2164
96	231	2155
97	233	2147
98	235	2138
99	236	2131
100	238	2122
101	240	2113
102	241	2106
103	243	2098
104	245	2090
105	247	2083
106	248	2076
107	250	2068
108	252	2060
109	253	2053
110	255	2046
111	257	2040
112	258	2032
113	260	2025
114	262	2018
115	263	2011
116	265	2005
117	267	2000
118	269	1993
119	270	1987
120	272	1981
121	274	1975
122	276	1969
123	277	1963
124	279	1957
125	281	1950
126	282	1944
127	284	1938
128	286	1932
129	287	1925
130	289	1920
131	291	1914
132	292	1907
133	294	1902
134	296	1897
135	297	1892
136	299	1887
137	301	1882
138	303	1877
139	304	1871
140	306	1866
